# ArrowInput TSV dictionary
# UTF-8 TSV: code	text	comment	weight	user_weight
shou	㝊	shou		
liao	㝋	liao		
jiu	㝌	jiu		
xie	㝍	xie		
ding	㝎	ding		
jie	㝏	jie		
rong	㝐	rong		
mang	㝑	mang		
ke	㝓	ke		
yao	㝔	yao		
ning	㝕	ning		
yi	㝖	yi		
lang	㝗	lang		
yong	㝘	yong		
yin	㝙	yin		
yan	㝚	yan		
su	㝛	su		
lin	㝝	lin		
ya	㝞	ya		
mao	㝟	mao		
ming	㝠	ming		
zui	㝡	zui		
yu	㝢	yu		
yi	㝣	yi		
gou	㝤	gou		
mi	㝥	mi		
jun	㝦	jun		
wen	㝧	wen		
kang	㝩	kang		
dian	㝪	dian		
long	㝫	long		
xing	㝭	xing		
cui	㝮	cui		
qiao	㝯	qiao		
mian	㝰	mian		
meng	㝱	meng		
qin	㝲	qin		
wan	㝴	wan		
de	㝵	de		
ai	㝶	ai		
bian	㝸	bian		
nou	㝹	nou		
lian	㝺	lian		
jin	㝻	jin		
yu	㝼	yu		
chui	㝽	chui		
zuo	㝾	zuo		
bo	㝿	bo		
hui	㞀	hui		
yao	㞁	yao		
tui	㞂	tui		
ji	㞃	ji		
an	㞄	an		
luo	㞅	luo		
ji	㞆	ji		
wei	㞇	wei		
bo	㞈	bo		
za	㞉	za		
xu	㞊	xu		
ji	㞋	ji		
nian	㞋	nian		
yun	㞌	yun		
ba	㞎	ba		
pa	㞎	pa		
jie	㞏	jie		
zhe	㞏	zhe		
ju	㞐	ju		
wei	㞑	wei		
xi	㞒	xi		
xie	㞒	xie		
ji	㞓	ji		
qi	㞓	qi		
yi	㞔	yi		
xie	㞕	xie		
ci	㞖	ci		
qiu	㞗	qiu		
du	㞘	du		
niao	㞙	niao		
qi	㞚	qi		
zha	㞚	zha		
ji	㞛	ji		
tui	㞜	tui		
song	㞞	song		
dian	㞟	dian		
ding	㞟	ding		
lao	㞠	lao		
zhan	㞡	zhan		
cen	㞤	cen		
yin	㞤	yin		
cen	㞥	cen		
ji	㞦	ji		
hui	㞧	hui		
zi	㞨	zi		
lan	㞩	lan		
nao	㞪	nao		
ju	㞫	ju		
qin	㞬	qin		
dai	㞭	dai		
jie	㞯	jie		
xu	㞰	xu		
cong	㞱	cong		
yong	㞲	yong		
dou	㞳	dou		
chi	㞴	chi		
min	㞴	min		
min	㞶	min		
huang	㞷	huang		
sui	㞸	sui		
ke	㞹	ke		
zu	㞺	zu		
hao	㞻	hao		
cheng	㞼	cheng		
xue	㞽	xue		
ni	㞾	ni		
chi	㞿	chi		
lian	㟀	lian		
an	㟁	an		
mu	㟂	mu		
si	㟃	si		
xiang	㟄	xiang		
yang	㟅	yang		
hua	㟆	hua		
cuo	㟇	cuo		
qiu	㟈	qiu		
lao	㟉	lao		
fu	㟊	fu		
dui	㟋	dui		
mang	㟌	mang		
lang	㟍	lang		
tui	㟎	tui		
tuo	㟎	tuo		
han	㟏	han		
mang	㟐	mang		
bo	㟑	bo		
qun	㟒	qun		
qi	㟓	qi		
han	㟔	han		
long	㟖	long		
tiao	㟘	tiao		
ze	㟙	ze		
qi	㟚	qi		
zan	㟛	zan		
mi	㟜	mi		
pei	㟝	pei		
zhan	㟞	zhan		
xiang	㟟	xiang		
gang	㟠	gang		
qi	㟢	qi		
lu	㟤	lu		
yun	㟦	yun		
e	㟧	e		
duan	㟨	duan		
min	㟩	min		
wei	㟪	wei		
quan	㟫	quan		
sou	㟬	sou		
min	㟭	min		
tu	㟮	tu		
ming	㟰	ming		
yao	㟱	yao		
yuan	㟲	yuan		
li	㟳	li		
kuai	㟴	kuai		
gang	㟵	gang		
yuan	㟶	yuan		
da	㟷	da		
gao	㟸	gao		
lao	㟹	lao		
lou	㟺	lou		
qian	㟻	qian		
ao	㟼	ao		
biao	㟽	biao		
yong	㟾	yong		
mang	㟿	mang		
dao	㠀	dao		
ao	㠂	ao		
xi	㠄	xi		
fu	㠅	fu		
dan	㠆	dan		
jiu	㠇	jiu		
run	㠈	run		
tong	㠉	tong		
qu	㠊	qu		
e	㠋	e		
qi	㠌	qi		
ji	㠍	ji		
ji	㠎	ji		
jie	㠎	jie		
hua	㠏	hua		
jiao	㠐	jiao		
zui	㠑	zui		
biao	㠒	biao		
meng	㠓	meng		
bai	㠔	bai		
wei	㠕	wei		
yi	㠖	yi		
ao	㠗	ao		
yu	㠘	yu		
yao	㠙	yao		
dui	㠚	dui		
wo	㠛	wo		
ni	㠜	ni		
cuan	㠝	cuan		
li	㠟	li		
lv	㠠	lv		
niao	㠡	niao		
huai	㠢	huai		
li	㠣	li		
lei	㠥	lei		
lv	㠥	lv		
feng	㠦	feng		
mi	㠧	mi		
yu	㠨	yu		
ju	㠪	ju		
